County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Prince George's Coun,486870.0,259120.0,104790.0,100000.0,28325462.0,13110.0,64028.0
Prince William Count,220660.0,98390.0,86250.0,38620.0,17408047.0,3890.0,15898.0
Prince of Wales-Hyde,2340.0,1110.0,850.0,610.0,124462.0,680.0,1601.0
Providence County,313410.0,168920.0,88750.0,66830.0,18072689.0,20990.0,97536.0
Prowers County,4860.0,1960.0,2000.0,1310.0,205248.0,100.0,431.0
Pueblo County,71420.0,32840.0,25840.0,19570.0,3687709.0,2630.0,12640.0
Pulaski County,248400.0,111660.0,85410.0,61160.0,15306224.0,6830.0,22120.0
Pushmataha County,4230.0,1550.0,2010.0,1150.0,166671.0,170.0,790.0
Putnam County,186410.0,81730.0,76600.0,52070.0,12149961.0,4500.0,18561.0
Quay County,3540.0,1520.0,1350.0,1230.0,114240.0,70.0,309.0
Queen Anne's County,24850.0,11330.0,10540.0,7080.0,2126473.0,700.0,3043.0
Queens County,1171640.0,596820.0,339800.0,240980.0,61547954.0,26990.0,145004.0
Quitman County,3490.0,1330.0,730.0,860.0,112105.0,130.0,340.0
Rabun County,7600.0,3280.0,3330.0,2760.0,423531.0,150.0,315.0
Racine County,97080.0,47770.0,35910.0,25940.0,6024034.0,3880.0,14820.0
Radford city,5440.0,3070.0,1690.0,1160.0,268891.0,150.0,414.0
Rains County,4670.0,1730.0,2270.0,1520.0,239713.0,110.0,532.0
Raleigh County,30050.0,12620.0,12680.0,8570.0,1505145.0,1130.0,3677.0
Ralls County,4670.0,1900.0,2310.0,1430.0,250900.0,150.0,433.0
Ramsey County,275460.0,151860.0,85750.0,65210.0,19155087.0,8020.0,44007.0
Randall County,61800.0,27230.0,26440.0,15320.0,4214701.0,820.0,3975.0
Randolph County,128800.0,54160.0,52500.0,33850.0,6166913.0,3570.0,11669.0
Rankin County,66090.0,27400.0,26330.0,15720.0,4062734.0,850.0,2609.0
Ransom County,2700.0,1340.0,1130.0,840.0,152761.0,140.0,307.0
Rapides Parish,55240.0,22720.0,18810.0,13750.0,3010162.0,1250.0,4636.0
Rappahannock County,3610.0,1700.0,1590.0,1460.0,288008.0,50.0,213.0
Ravalli County,20520.0,8910.0,9670.0,7750.0,1178501.0,1140.0,4729.0
Rawlins County,1280.0,590.0,560.0,500.0,57662.0,0.0,0.0
Ray County,10720.0,4570.0,4770.0,2980.0,561639.0,710.0,1608.0
Reagan County,1570.0,580.0,740.0,260.0,102982.0,40.0,234.0
Real County,1600.0,640.0,770.0,680.0,75861.0,20.0,116.0
Red Lake County,1890.0,850.0,840.0,590.0,101686.0,190.0,971.0
Red River County,5200.0,2140.0,2070.0,1520.0,222292.0,200.0,844.0
Red River Parish,3260.0,1260.0,1010.0,780.0,172753.0,70.0,228.0
Red Willow County,4920.0,2170.0,2250.0,1520.0,252128.0,90.0,265.0
Redwood County,7700.0,3790.0,3150.0,2350.0,420135.0,380.0,1697.0
Reeves County,5270.0,2320.0,1780.0,1000.0,350291.0,160.0,879.0
Refugio County,3180.0,1390.0,1210.0,930.0,163712.0,150.0,602.0
Reno County,27820.0,12690.0,11550.0,8770.0,1487279.0,870.0,2411.0
Rensselaer County,79030.0,41440.0,26170.0,20940.0,4929337.0,2620.0,12185.0
Renville County,8680.0,4120.0,3730.0,2700.0,489670.0,440.0,2047.0
Republic County,2350.0,1100.0,1060.0,970.0,103420.0,30.0,114.0
Reynolds County,2410.0,910.0,1160.0,700.0,88549.0,90.0,257.0
Rhea County,13410.0,5290.0,5830.0,3450.0,627680.0,490.0,1887.0
Rhode Island,536630.0,286130.0,170270.0,134160.0,36476147.0,33830.0,159334.0
Rice County,34030.0,15850.0,14050.0,9400.0,2157004.0,1370.0,7100.0
Rich County,970.0,330.0,560.0,300.0,47160.0,20.0,103.0
Richardson County,3710.0,1690.0,1650.0,1270.0,186721.0,130.0,396.0
Richland County,267240.0,126880.0,83650.0,64700.0,15260071.0,6160.0,23471.0
Richland Parish,8030.0,3000.0,2750.0,1980.0,379929.0,280.0,1043.0
Richmond County,334850.0,157210.0,106370.0,79460.0,21224492.0,8990.0,41871.0
Richmond city,102580.0,62680.0,19170.0,19150.0,7109885.0,2010.0,7108.0
Riley County,25730.0,13400.0,9850.0,5550.0,1511818.0,380.0,1336.0
Ringgold County,2080.0,820.0,1040.0,740.0,89066.0,80.0,443.0
Rio Arriba County,16620.0,7900.0,4810.0,5060.0,706820.0,430.0,2018.0
Rio Blanco County,2720.0,1060.0,1340.0,760.0,161423.0,110.0,452.0
Rio Grande County,5770.0,2380.0,2440.0,1700.0,265718.0,360.0,1349.0
Ripley County,18960.0,8110.0,8090.0,5090.0,915642.0,590.0,2008.0
Ritchie County,4030.0,1660.0,1860.0,1260.0,198335.0,320.0,1019.0
Riverside County,1013620.0,456190.0,375550.0,219270.0,58929598.0,62750.0,289485.0
Roane County,28600.0,11780.0,13030.0,8860.0,1530842.0,940.0,4013.0
Roanoke County,46700.0,20820.0,20560.0,15040.0,3271751.0,840.0,3032.0
